Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Delivery_Time,Request_Weekday,
3881,Airport,3,Trip Completed,7/13/2016 21:54,7/13/2016 22:51,00:57:05,Wednesday,
5254,City,3,Trip Completed,7/14/2016 21:23,7/14/2016 22:25,01:02:16,Thursday,
5434,City,3,Trip Completed,7/15/2016 2:41,7/15/2016 3:24,00:43:05,Friday,
5916,City,3,Trip Completed,7/15/2016 10:00,7/15/2016 10:53,00:52:23,Friday,
669,City,4,Trip Completed,11/7/2016 13:08,11/7/2016 13:49,00:41:00,Monday,
1567,Airport,4,Trip Completed,12/7/2016 6:21,12/7/2016 7:10,00:49:00,Wednesday,
1826,City,4,Trip Completed,12/7/2016 9:27,12/7/2016 10:27,01:00:00,Wednesday,
2102,City,4,Trip Completed,12/7/2016 16:09,12/7/2016 17:01,00:52:00,Wednesday,
2847,Airport,4,Trip Completed,7/13/2016 5:34,7/13/2016 6:09,00:35:39,Wednesday,
3722,Airport,4,Trip Completed,7/13/2016 19:57,7/13/2016 20:32,00:34:05,Wednesday,
4075,City,4,Trip Completed,7/14/2016 2:17,7/14/2016 3:21,01:04:03,Thursday,
4686,City,4,Trip Completed,7/14/2016 13:01,7/14/2016 13:45,00:44:18,Thursday,
5771,Airport,4,Trip Completed,7/15/2016 8:30,7/15/2016 9:37,01:07:14,Friday,
6106,Airport,4,Trip Completed,7/15/2016 15:01,7/15/2016 15:47,00:46:11,Friday,
312,City,5,Trip Completed,11/7/2016 7:27,11/7/2016 8:31,01:04:00,Monday,
577,Airport,5,Trip Completed,11/7/2016 11:03,11/7/2016 12:01,00:58:00,Monday,
1179,City,5,Trip Completed,11/7/2016 20:58,11/7/2016 21:45,00:47:00,Monday,
1756,Airport,5,Trip Completed,12/7/2016 8:40,12/7/2016 9:23,00:43:00,Wednesday,
2052,City,5,Trip Completed,12/7/2016 14:48,12/7/2016 15:50,01:02:00,Wednesday,
2559,City,5,Trip Completed,12/7/2016 21:32,12/7/2016 22:29,00:57:00,Wednesday,
3014,City,5,Trip Completed,7/13/2016 7:28,7/13/2016 8:29,01:01:33,Wednesday,
3317,City,5,Trip Completed,7/13/2016 12:14,7/13/2016 12:46,00:32:11,Wednesday,
4297,City,5,Trip Completed,7/14/2016 6:43,7/14/2016 7:49,01:06:37,Thursday,
5857,Airport,5,Trip Completed,7/15/2016 9:08,7/15/2016 10:07,00:58:17,Friday,
6690,Airport,5,Trip Completed,7/15/2016 22:41,7/15/2016 23:51,01:09:19,Friday,
1517,Airport,6,Trip Completed,12/7/2016 5:45,12/7/2016 6:28,00:43:00,Wednesday,
1999,Airport,6,Trip Completed,12/7/2016 13:02,12/7/2016 13:51,00:49:00,Wednesday,
2960,Airport,6,Trip Completed,7/13/2016 6:50,7/13/2016 7:40,00:50:02,Wednesday,
3882,City,6,Trip Completed,7/13/2016 21:53,7/13/2016 22:45,00:52:21,Wednesday,
4081,Airport,6,Trip Completed,7/14/2016 2:37,7/14/2016 3:30,00:53:13,Thursday,
4740,City,6,Trip Completed,7/14/2016 14:50,7/14/2016 15:38,00:48:07,Thursday,
5270,City,6,Trip Completed,7/14/2016 21:33,7/14/2016 22:25,00:51:48,Thursday,
6758,Airport,6,Trip Completed,7/15/2016 0:03,7/15/2016 1:07,01:04:00,Friday,
5741,City,6,Trip Completed,7/15/2016 7:52,7/15/2016 8:38,00:46:04,Friday,
6087,Airport,6,Trip Completed,7/15/2016 14:28,7/15/2016 15:33,01:05:03,Friday,
1039,City,7,Trip Completed,11/7/2016 19:31,11/7/2016 20:41,01:10:00,Monday,
1273,Airport,7,Trip Completed,11/7/2016 22:07,11/7/2016 23:12,01:05:00,Monday,
2480,City,7,Trip Completed,12/7/2016 20:39,12/7/2016 21:28,00:49:00,Wednesday,
4105,City,7,Trip Completed,7/14/2016 3:39,7/14/2016 4:39,00:59:26,Thursday,
4509,City,7,Trip Completed,7/14/2016 9:11,7/14/2016 10:17,01:05:48,Thursday,
4986,Airport,7,Trip Completed,7/14/2016 18:52,7/14/2016 19:50,00:58:25,Thursday,
5898,City,7,Trip Completed,7/15/2016 9:50,7/15/2016 10:40,00:50:11,Friday,
6142,Airport,7,Trip Completed,7/15/2016 15:50,7/15/2016 16:36,00:46:41,Friday,
380,Airport,8,Trip Completed,11/7/2016 8:18,11/7/2016 9:18,01:00:00,Monday,
1050,Airport,8,Trip Completed,11/7/2016 19:39,11/7/2016 20:30,00:51:00,Monday,
1769,City,8,Trip Completed,12/7/2016 8:57,12/7/2016 9:24,00:27:00,Wednesday,
2520,City,8,Trip Completed,12/7/2016 21:05,12/7/2016 22:20,01:15:00,Wednesday,
3265,Airport,8,Trip Completed,7/13/2016 10:22,7/13/2016 11:07,00:44:55,Wednesday,
4648,City,8,Trip Completed,7/14/2016 11:55,7/14/2016 12:59,01:04:24,Thursday,
449,Airport,9,Trip Completed,11/7/2016 9:08,11/7/2016 9:52,00:44:00,Monday,
846,Airport,9,Trip Completed,11/7/2016 17:46,11/7/2016 18:52,01:06:00,Monday,
1346,Airport,9,Trip Completed,11/7/2016 23:39,12/7/2016 0:23,00:44:00,Monday,
1474,Airport,9,Trip Completed,12/7/2016 5:13,12/7/2016 5:56,00:43:00,Wednesday,
2240,City,9,Trip Completed,12/7/2016 18:20,12/7/2016 18:54,00:34:00,Wednesday,
3072,Airport,9,Trip Completed,7/13/2016 8:04,7/13/2016 8:36,00:31:40,Wednesday,
3459,Airport,9,Trip Completed,7/13/2016 17:03,7/13/2016 17:31,00:28:19,Wednesday,
3774,Airport,9,Trip Completed,7/13/2016 20:41,7/13/2016 21:27,00:46:05,Wednesday,
4023,City,9,Trip Completed,7/13/2016 23:58,7/14/2016 0:58,00:59:58,Wednesday,
4117,City,9,Trip Completed,7/14/2016 4:21,7/14/2016 5:07,00:45:25,Thursday,
4880,Airport,9,Trip Completed,7/14/2016 17:58,7/14/2016 19:02,01:03:56,Thursday,
5568,Airport,9,Trip Completed,7/15/2016 5:47,7/15/2016 6:25,00:38:00,Friday,
5994,Airport,9,Trip Completed,7/15/2016 11:51,7/15/2016 12:32,00:40:56,Friday,
1809,Airport,10,Trip Completed,12/7/2016 9:13,12/7/2016 10:01,00:48:00,Wednesday,
2064,Airport,10,Trip Completed,12/7/2016 15:08,12/7/2016 16:14,01:06:00,Wednesday,
3210,City,10,Trip Completed,7/13/2016 9:47,7/13/2016 10:52,01:05:31,Wednesday,
4350,City,10,Trip Completed,7/14/2016 7:24,7/14/2016 8:22,00:57:26,Thursday,
4713,City,10,Trip Completed,7/14/2016 13:31,7/14/2016 14:10,00:39:32,Thursday,
5629,Airport,10,Trip Completed,7/15/2016 6:33,7/15/2016 7:19,00:46:53,Friday,
6157,Airport,10,Trip Completed,7/15/2016 16:32,7/15/2016 17:44,01:11:53,Friday,
2030,City,11,Trip Completed,12/7/2016 14:11,12/7/2016 15:02,00:51:00,Wednesday,
3226,City,11,Trip Completed,7/13/2016 10:00,7/13/2016 11:02,01:02:35,Wednesday,
3353,City,11,Trip Completed,7/13/2016 13:29,7/13/2016 14:09,00:39:16,Wednesday,
4293,City,11,Trip Completed,7/14/2016 6:42,7/14/2016 7:12,00:30:05,Thursday,
4936,City,11,Trip Completed,7/14/2016 18:22,7/14/2016 19:14,00:52:19,Thursday,
5661,Airport,11,Trip Completed,7/15/2016 7:08,7/15/2016 7:59,00:50:10,Friday,
5778,City,11,Trip Completed,7/15/2016 8:22,7/15/2016 9:13,00:51:01,Friday,
6425,Airport,11,Trip Completed,7/15/2016 19:46,7/15/2016 20:26,00:40:11,Friday,
45,Airport,12,Trip Completed,11/7/2016 3:17,11/7/2016 4:09,00:52:00,Monday,
264,City,12,Trip Completed,11/7/2016 6:51,11/7/2016 7:40,00:49:00,Monday,
1183,City,12,Trip Completed,11/7/2016 21:05,11/7/2016 21:38,00:33:00,Monday,
1536,Airport,12,Trip Completed,12/7/2016 5:59,12/7/2016 6:59,01:00:00,Wednesday,
2437,City,12,Trip Completed,12/7/2016 20:18,12/7/2016 21:26,01:08:00,Wednesday,
2641,Airport,12,Trip Completed,12/7/2016 22:28,12/7/2016 23:05,00:37:00,Wednesday,
4077,Airport,12,Trip Completed,7/14/2016 2:14,7/14/2016 3:13,00:58:54,Thursday,
4610,City,12,Trip Completed,7/14/2016 10:35,7/14/2016 11:39,01:03:47,Thursday,
5066,Airport,12,Trip Completed,7/14/2016 19:31,7/14/2016 20:14,00:42:43,Thursday,
5666,Airport,12,Trip Completed,7/15/2016 7:04,7/15/2016 8:12,01:07:42,Friday,
5923,City,12,Trip Completed,7/15/2016 10:07,7/15/2016 10:50,00:43:01,Friday,
6367,City,12,Trip Completed,7/15/2016 19:04,7/15/2016 19:46,00:41:18,Friday,
155,City,13,Trip Completed,11/7/2016 5:32,11/7/2016 6:28,00:56:00,Monday,
310,Airport,13,Trip Completed,11/7/2016 7:24,11/7/2016 8:28,01:04:00,Monday,
607,City,13,Trip Completed,11/7/2016 11:51,11/7/2016 12:42,00:51:00,Monday,
1012,City,13,Trip Completed,11/7/2016 19:15,11/7/2016 19:57,00:42:00,Monday,
1696,Airport,13,Trip Completed,12/7/2016 8:01,12/7/2016 8:42,00:41:00,Wednesday,
3076,City,13,Trip Completed,7/13/2016 8:09,7/13/2016 9:12,01:03:15,Wednesday,
4198,Airport,13,Trip Completed,7/14/2016 5:32,7/14/2016 6:45,01:13:18,Thursday,
4627,City,13,Trip Completed,7/14/2016 11:13,7/14/2016 12:00,00:46:53,Thursday,
5289,City,13,Trip Completed,7/14/2016 21:43,7/14/2016 22:24,00:40:49,Thursday,
5495,Airport,13,Trip Completed,7/15/2016 5:00,7/15/2016 6:02,01:02:14,Friday,
6656,Airport,13,Trip Completed,7/15/2016 22:08,7/15/2016 22:41,00:32:36,Friday,
139,Airport,14,Trip Completed,11/7/2016 5:21,11/7/2016 6:09,00:48:00,Monday,
215,City,14,Trip Completed,11/7/2016 6:15,11/7/2016 7:07,00:52:00,Monday,
1816,City,14,Trip Completed,12/7/2016 9:24,12/7/2016 10:07,00:43:00,Wednesday,
2505,Airport,14,Trip Completed,12/7/2016 21:03,12/7/2016 22:14,01:11:00,Wednesday,
3346,City,14,Trip Completed,7/13/2016 13:01,7/13/2016 13:55,00:54:17,Wednesday,
5294,City,14,Trip Completed,7/14/2016 21:45,7/14/2016 22:16,00:30:50,Thursday,
6226,Airport,14,Trip Completed,7/15/2016 17:34,7/15/2016 18:33,00:58:48,Friday,
6733,Airport,14,Trip Completed,7/15/2016 23:32,7/16/2016 0:37,01:05:02,Friday,
1027,Airport,15,Trip Completed,11/7/2016 19:18,11/7/2016 20:24,01:06:00,Monday,
2675,Airport,15,Trip Completed,12/7/2016 23:43,7/13/2016 0:35,00:52:12,Wednesday,
3200,City,15,Trip Completed,7/13/2016 9:39,7/13/2016 10:30,00:51:14,Wednesday,
3865,City,15,Trip Completed,7/13/2016 21:52,7/13/2016 22:21,00:29:10,Wednesday,
4468,City,15,Trip Completed,7/14/2016 8:42,7/14/2016 9:22,00:39:15,Thursday,
5163,Airport,15,Trip Completed,7/14/2016 20:34,7/14/2016 21:05,00:30:48,Thursday,
6009,City,15,Trip Completed,7/15/2016 12:22,7/15/2016 13:25,01:02:52,Friday,
6448,Airport,15,Trip Completed,7/15/2016 20:02,7/15/2016 20:40,00:37:51,Friday,
591,City,16,Trip Completed,11/7/2016 11:25,11/7/2016 12:31,01:06:00,Monday,
709,City,16,Trip Completed,11/7/2016 14:16,11/7/2016 15:03,00:47:00,Monday,
1167,Airport,16,Trip Completed,11/7/2016 20:50,11/7/2016 21:52,01:02:00,Monday,
2661,Airport,16,Trip Completed,12/7/2016 23:23,7/13/2016 0:27,01:04:21,Wednesday,
2808,City,16,Trip Completed,7/13/2016 5:05,7/13/2016 5:56,00:50:55,Wednesday,
3258,Airport,16,Trip Completed,7/13/2016 10:12,7/13/2016 10:45,00:32:37,Wednesday,
3413,Airport,16,Trip Completed,7/13/2016 15:32,7/13/2016 16:45,01:13:43,Wednesday,
3939,Airport,16,Trip Completed,7/13/2016 22:26,7/13/2016 22:55,00:29:28,Wednesday,
4125,City,16,Trip Completed,7/14/2016 4:37,7/14/2016 5:46,01:09:18,Thursday,
4457,City,16,Trip Completed,7/14/2016 8:36,7/14/2016 9:19,00:42:56,Thursday,
4728,City,16,Trip Completed,7/14/2016 14:04,7/14/2016 15:06,01:02:27,Thursday,
5347,Airport,16,Trip Completed,7/14/2016 22:51,7/14/2016 23:53,01:01:55,Thursday,
6147,City,16,Trip Completed,7/15/2016 16:11,7/15/2016 17:30,01:19:06,Friday,
6496,Airport,16,Trip Completed,7/15/2016 20:33,7/15/2016 21:32,00:59:49,Friday,
634,City,17,Trip Completed,11/7/2016 12:25,11/7/2016 13:06,00:41:00,Monday,
939,Airport,17,Trip Completed,11/7/2016 18:25,11/7/2016 19:26,01:01:00,Monday,
2628,Airport,17,Trip Completed,12/7/2016 22:10,12/7/2016 23:25,01:15:00,Wednesday,
3021,City,17,Trip Completed,7/13/2016 7:33,7/13/2016 8:26,00:52:47,Wednesday,
4743,City,17,Trip Completed,7/14/2016 14:54,7/14/2016 15:39,00:44:47,Thursday,
4981,City,17,Trip Completed,7/14/2016 18:47,7/14/2016 19:43,00:56:02,Thursday,
5367,Airport,17,Trip Completed,7/14/2016 23:35,7/15/2016 0:25,00:49:52,Thursday,
5471,Airport,17,Trip Completed,7/15/2016 4:48,7/15/2016 5:47,00:58:16,Friday,
5988,Airport,17,Trip Completed,7/15/2016 11:48,7/15/2016 12:55,01:06:30,Friday,
6477,Airport,17,Trip Completed,7/15/2016 20:21,7/15/2016 21:00,00:39:05,Friday,
499,City,18,Trip Completed,11/7/2016 9:39,11/7/2016 10:16,00:37:00,Monday,
1147,Airport,18,Trip Completed,11/7/2016 20:42,11/7/2016 21:18,00:36:00,Monday,
1410,Airport,18,Trip Completed,12/7/2016 3:14,12/7/2016 4:27,01:13:00,Wednesday,
1804,Airport,18,Trip Completed,12/7/2016 9:12,12/7/2016 9:57,00:45:00,Wednesday,
1949,Airport,18,Trip Completed,12/7/2016 11:32,12/7/2016 12:13,00:41:00,Wednesday,
2713,City,18,Trip Completed,7/13/2016 1:46,7/13/2016 2:37,00:50:26,Wednesday,
2845,City,18,Trip Completed,7/13/2016 5:28,7/13/2016 6:10,00:42:11,Wednesday,
3943,Airport,18,Trip Completed,7/13/2016 22:35,7/13/2016 23:33,00:57:42,Wednesday,
4792,City,18,Trip Completed,7/14/2016 16:47,7/14/2016 17:34,00:47:24,Thursday,
5207,Airport,18,Trip Completed,7/14/2016 20:57,7/14/2016 21:56,00:58:40,Thursday,
5890,City,18,Trip Completed,7/15/2016 9:43,7/15/2016 10:55,01:11:25,Friday,
494,City,19,Trip Completed,11/7/2016 9:36,11/7/2016 10:02,00:26:00,Monday,
1485,City,19,Trip Completed,12/7/2016 5:21,12/7/2016 6:35,01:14:00,Wednesday,
2042,City,19,Trip Completed,12/7/2016 14:30,12/7/2016 15:09,00:39:00,Wednesday,
2561,Airport,19,Trip Completed,12/7/2016 21:29,12/7/2016 22:44,01:15:00,Wednesday,
3813,Airport,19,Trip Completed,7/13/2016 21:06,7/13/2016 21:46,00:39:27,Wednesday,
4260,Airport,19,Trip Completed,7/14/2016 6:11,7/14/2016 6:59,00:47:55,Thursday,
4395,City,19,Trip Completed,7/14/2016 8:00,7/14/2016 8:54,00:54:24,Thursday,
5919,City,19,Trip Completed,7/15/2016 10:03,7/15/2016 10:59,00:55:45,Friday,
6002,Airport,19,Trip Completed,7/15/2016 12:04,7/15/2016 12:53,00:49:21,Friday,
468,City,20,Trip Completed,11/7/2016 9:20,11/7/2016 10:05,00:45:00,Monday,
693,Airport,20,Trip Completed,11/7/2016 13:51,11/7/2016 15:01,01:10:00,Monday,
1178,City,20,Trip Completed,11/7/2016 21:05,11/7/2016 22:06,01:01:00,Monday,
2103,City,20,Trip Completed,12/7/2016 16:08,12/7/2016 17:18,01:10:00,Wednesday,
2292,Airport,20,Trip Completed,12/7/2016 18:46,12/7/2016 19:23,00:37:00,Wednesday,
3339,City,20,Trip Completed,7/13/2016 12:40,7/13/2016 13:30,00:49:28,Wednesday,
3694,City,20,Trip Completed,7/13/2016 19:33,7/13/2016 20:35,01:01:49,Wednesday,
4469,City,20,Trip Completed,7/14/2016 8:45,7/14/2016 9:48,01:02:55,Thursday,
6432,City,20,Trip Completed,7/15/2016 19:50,7/15/2016 20:30,00:39:08,Friday,
1895,City,21,Trip Completed,12/7/2016 10:20,12/7/2016 10:52,00:32:00,Wednesday,
1981,Airport,21,Trip Completed,12/7/2016 12:23,12/7/2016 12:56,00:33:00,Wednesday,
3744,Airport,21,Trip Completed,7/13/2016 20:28,7/13/2016 21:22,00:54:31,Wednesday,
4433,Airport,21,Trip Completed,7/14/2016 8:26,7/14/2016 9:12,00:45:30,Thursday,
6039,Airport,21,Trip Completed,7/15/2016 13:11,7/15/2016 13:38,00:26:57,Friday,
6543,City,21,Trip Completed,7/15/2016 20:54,7/15/2016 22:12,01:18:16,Friday,
110,City,22,Trip Completed,11/7/2016 5:05,11/7/2016 6:06,01:01:00,Monday,
362,City,22,Trip Completed,11/7/2016 8:01,11/7/2016 9:18,01:17:00,Monday,
666,Airport,22,Trip Completed,11/7/2016 13:02,11/7/2016 13:45,00:43:00,Monday,
926,City,22,Trip Completed,11/7/2016 18:28,11/7/2016 19:34,01:06:00,Monday,
1180,Airport,22,Trip Completed,11/7/2016 21:01,11/7/2016 22:14,01:13:00,Monday,
1900,City,22,Trip Completed,12/7/2016 10:32,12/7/2016 11:42,01:10:00,Wednesday,
2506,City,22,Trip Completed,12/7/2016 21:01,12/7/2016 21:38,00:37:00,Wednesday,
3064,City,22,Trip Completed,7/13/2016 8:02,7/13/2016 8:58,00:56:43,Wednesday,
3327,Airport,22,Trip Completed,7/13/2016 12:24,7/13/2016 13:23,00:58:58,Wednesday,
3601,City,22,Trip Completed,7/13/2016 18:39,7/13/2016 19:29,00:50:07,Wednesday,
4768,Airport,22,Trip Completed,7/14/2016 15:39,7/14/2016 16:49,01:09:39,Thursday,
5142,City,22,Trip Completed,7/14/2016 20:17,7/14/2016 20:48,00:31:07,Thursday,
5366,Airport,22,Trip Completed,7/14/2016 23:27,7/15/2016 0:19,00:52:28,Thursday,
5575,City,22,Trip Completed,7/15/2016 5:53,7/15/2016 6:50,00:56:07,Friday,
5902,City,22,Trip Completed,7/15/2016 9:52,7/15/2016 10:37,00:44:08,Friday,
6694,Airport,22,Trip Completed,7/15/2016 22:45,7/15/2016 23:17,00:32:09,Friday,
523,Airport,23,Trip Completed,11/7/2016 9:48,11/7/2016 10:37,00:49:00,Monday,
747,City,23,Trip Completed,11/7/2016 15:53,11/7/2016 16:43,00:50:00,Monday,
1371,Airport,23,Trip Completed,12/7/2016 0:22,12/7/2016 1:33,01:11:00,Wednesday,
1553,City,23,Trip Completed,12/7/2016 6:09,12/7/2016 7:09,01:00:00,Wednesday,
1692,Airport,23,Trip Completed,12/7/2016 7:52,12/7/2016 9:01,01:09:00,Wednesday,
2114,City,23,Trip Completed,12/7/2016 16:36,12/7/2016 17:21,00:45:00,Wednesday,
2742,City,23,Trip Completed,7/13/2016 3:07,7/13/2016 3:51,00:43:58,Wednesday,
4273,City,23,Trip Completed,7/14/2016 6:17,7/14/2016 7:02,00:45:27,Thursday,
4668,City,23,Trip Completed,7/14/2016 12:25,7/14/2016 13:34,01:09:56,Thursday,
5425,City,23,Trip Completed,7/15/2016 2:23,7/15/2016 3:08,00:44:39,Friday,
5488,City,23,Trip Completed,7/15/2016 4:53,7/15/2016 6:00,01:06:34,Friday,
5781,City,23,Trip Completed,7/15/2016 8:35,7/15/2016 9:42,01:06:40,Friday,
5966,Airport,23,Trip Completed,7/15/2016 10:54,7/15/2016 11:58,01:04:17,Friday,
6122,City,23,Trip Completed,7/15/2016 15:26,7/15/2016 16:29,01:03:34,Friday,
357,Airport,24,Trip Completed,11/7/2016 8:00,11/7/2016 9:08,01:08:00,Monday,
1068,City,24,Trip Completed,11/7/2016 19:52,11/7/2016 20:48,00:56:00,Monday,
2689,Airport,24,Trip Completed,7/13/2016 0:34,7/13/2016 1:49,01:15:05,Wednesday,
2791,City,24,Trip Completed,7/13/2016 4:56,7/13/2016 5:33,00:37:00,Wednesday,
3321,City,24,Trip Completed,7/13/2016 12:23,7/13/2016 13:25,01:02:12,Wednesday,
3423,Airport,24,Trip Completed,7/13/2016 15:52,7/13/2016 16:50,00:58:39,Wednesday,
3761,Airport,24,Trip Completed,7/13/2016 20:35,7/13/2016 21:39,01:03:38,Wednesday,
4140,City,24,Trip Completed,7/14/2016 4:48,7/14/2016 6:05,01:16:52,Thursday,
4656,City,24,Trip Completed,7/14/2016 12:06,7/14/2016 12:49,00:42:47,Thursday,
4931,Airport,24,Trip Completed,7/14/2016 18:21,7/14/2016 18:54,00:32:11,Thursday,
5268,City,24,Trip Completed,7/14/2016 21:29,7/14/2016 22:30,01:00:36,Thursday,
5811,City,24,Trip Completed,7/15/2016 8:46,7/15/2016 9:26,00:40:03,Friday,
6139,Airport,24,Trip Completed,7/15/2016 15:45,7/15/2016 16:40,00:55:25,Friday,
6333,Airport,24,Trip Completed,7/15/2016 18:41,7/15/2016 19:53,01:12:07,Friday,
773,City,25,Trip Completed,11/7/2016 16:23,11/7/2016 17:21,00:58:00,Monday,
1123,City,25,Trip Completed,11/7/2016 20:20,11/7/2016 21:18,00:58:00,Monday,
2667,Airport,25,Trip Completed,12/7/2016 23:35,7/13/2016 0:40,01:05:52,Wednesday,
2833,City,25,Trip Completed,7/13/2016 5:27,7/13/2016 6:19,00:51:52,Wednesday,
3396,City,25,Trip Completed,7/13/2016 14:59,7/13/2016 15:57,00:58:16,Wednesday,
3590,City,25,Trip Completed,7/13/2016 18:31,7/13/2016 19:31,01:00:27,Wednesday,
3762,City,25,Trip Completed,7/13/2016 20:38,7/13/2016 21:21,00:43:14,Wednesday,
4566,City,25,Trip Completed,7/14/2016 9:48,7/14/2016 10:22,00:33:56,Thursday,
4862,City,25,Trip Completed,7/14/2016 17:37,7/14/2016 18:41,01:03:56,Thursday,
5564,Airport,25,Trip Completed,7/15/2016 5:41,7/15/2016 6:53,01:12:11,Friday,
6187,City,25,Trip Completed,7/15/2016 17:11,7/15/2016 18:08,00:57:03,Friday,
6642,City,25,Trip Completed,7/15/2016 22:07,7/15/2016 22:54,00:46:48,Friday,
322,City,26,Trip Completed,11/7/2016 7:31,11/7/2016 8:10,00:39:00,Monday,
793,City,26,Trip Completed,11/7/2016 17:04,11/7/2016 18:06,01:02:00,Monday,
898,Airport,26,Trip Completed,11/7/2016 18:14,11/7/2016 19:09,00:55:00,Monday,
1258,City,26,Trip Completed,11/7/2016 21:51,11/7/2016 23:00,01:09:00,Monday,
2832,City,26,Trip Completed,7/13/2016 5:20,7/13/2016 6:14,00:53:51,Wednesday,
3139,City,26,Trip Completed,7/13/2016 8:54,7/13/2016 9:22,00:28:38,Wednesday,
3438,City,26,Trip Completed,7/13/2016 16:12,7/13/2016 17:13,01:00:51,Wednesday,
3966,Airport,26,Trip Completed,7/13/2016 22:50,7/13/2016 23:27,00:37:01,Wednesday,
6401,Airport,26,Trip Completed,7/15/2016 19:33,7/15/2016 20:16,00:43:57,Friday,
204,City,27,Trip Completed,11/7/2016 6:04,11/7/2016 6:44,00:40:00,Monday,
632,Airport,27,Trip Completed,11/7/2016 12:20,11/7/2016 13:10,00:50:00,Monday,
763,City,27,Trip Completed,11/7/2016 16:19,11/7/2016 17:25,01:06:00,Monday,
1786,Airport,27,Trip Completed,12/7/2016 9:03,12/7/2016 9:58,00:55:00,Wednesday,
1968,City,27,Trip Completed,12/7/2016 12:10,12/7/2016 12:49,00:39:00,Wednesday,
2088,Airport,27,Trip Completed,12/7/2016 15:51,12/7/2016 17:02,01:11:00,Wednesday,
2473,Airport,27,Trip Completed,12/7/2016 20:43,12/7/2016 21:20,00:37:00,Wednesday,
2869,Airport,27,Trip Completed,7/13/2016 5:50,7/13/2016 6:27,00:36:58,Wednesday,
3742,Airport,27,Trip Completed,7/13/2016 20:24,7/13/2016 20:48,00:23:42,Wednesday,
4440,Airport,27,Trip Completed,7/14/2016 8:26,7/14/2016 9:00,00:34:07,Thursday,
5234,City,27,Trip Completed,7/14/2016 21:09,7/14/2016 21:52,00:42:50,Thursday,
6354,Airport,27,Trip Completed,7/15/2016 18:59,7/15/2016 19:35,00:36:09,Friday,
6638,City,27,Trip Completed,7/15/2016 21:59,7/15/2016 23:13,01:14:08,Friday,
84,City,28,Trip Completed,11/7/2016 4:50,11/7/2016 5:26,00:36:00,Monday,
1199,City,28,Trip Completed,11/7/2016 21:17,11/7/2016 21:53,00:36:00,Monday,
1676,Airport,28,Trip Completed,12/7/2016 7:44,12/7/2016 8:40,00:56:00,Wednesday,
2774,City,28,Trip Completed,7/13/2016 4:33,7/13/2016 5:13,00:40:16,Wednesday,
3220,Airport,28,Trip Completed,7/13/2016 9:51,7/13/2016 10:24,00:32:58,Wednesday,
3718,Airport,28,Trip Completed,7/13/2016 19:56,7/13/2016 20:47,00:50:57,Wednesday,
4904,Airport,28,Trip Completed,7/14/2016 18:02,7/14/2016 18:58,00:56:26,Thursday,
